DateTime,URL,Title,SharingImage,LangCode,DocTone,DomainCountryCode,Location,Lat,Lon,CountryCode,Adm1Code,Adm2Code,GeoType,ContextualText,the_geom,entity,cluster_id
2018-05-26 05:30:00+00:00,http://www.cotswoldjournal.co.uk/news/national/16251902.Summit_after_all__US_in_very_productive_talks_with_North_Korea__says_Trump/,"Summit after all ? US in very productive talks with North Korea , says Trump",http://www.cotswoldjournal.co.uk/resources/images/7843131/,eng,0,UK,Singapore,1.3667,103.8,SN,SN,,1,trump has said very productive talks are ongoing with north korea over reinstating a summit with leader kim jong un adding that if successful it will likely take place in singapore on june 12 the us president left open the possibility that the meeting could be put off to another date if negotiations do not make sufficient progress he tweeted we are having very productive talks with north korea about reinstating the summit which if it does happen will likely remain in singapore on the same date june 12th and if necessary will be extended beyond that date mr trump shocked the international community on,POINT(103.8 1.3667),"us, north korea, trump, productive talks, summit, kim jong un, singapore, negotiations, june 12",2
2018-06-04 15:30:00+00:00,http://www.dailymail.co.uk/news/article-5804161/Official-organizing-Singapore-summit-Kim-keeps-critical-details-Twitter-happy-Trump.html,Official organizing Singapore summit with Kim keeps critical details from Twitter - happy Trump,http://i.dailymail.co.uk/i/newpix/2018/06/04/16/4CB8708B00000578-0-image-a-5_1528125099159.jpg,eng,-0.15600624,UK,Singapore,1.3667,103.8,SN,SN,,1,south lawn following an oval office meeting with north korea kim yong chol kim jong un point man on negotiations after a week of uncertainty over the june 12 summit the afternoon events locked in trump and the 33 year old leader of north korea for a high flying meeting next week in asia well be in singapore it will be a beginning trump said i dont say and i never said it happens in one meeting youre talking about years of hostility years of problems years of really hatred between so many different nations but he said i think youre going to have a very positive result in the end by using the site you,POINT(103.8 1.3667),"singapore, summit, trump, north korea, kim jong un, negotiations, kim yong chol, asia, meeting, june 12",2
2018-06-14 10:15:00+00:00,http://www.asiaone.com/singapore/where-singapore-trump-kim-summit-public-relations-coup-tiny-city-state," ' Where is Singapore ?': Trump - Kim summit a public relations coup for tiny city state , Singapore News",http://www.asiaone.com/sites/default/files/original_images/Jun2018/trumpkimsummitsentosa_st.jpg,eng,0.441501104,SN,Singapore,1.3667,103.8,SN,SN,,1,east asian city state that played host to nuclear talks earlier this week was the most searched term on internet search engine google in the united states on monday june 11 with over two million hits related searches during those 24 hours included where is singapore singapore summit and time in singapore blanket media coverage on monday included kim surprise tour of the iconic marina bay sands hotel and its surrounding gardens and the first hours of the meeting with trump in the resort island of sentosa singapore said it spent s20 million on the summit a figure that drew the ire of some citizens,POINT(103.8 1.3667),"Singapore, Trump, Kim, summit, public relations, East Asian city state, nuclear talks, google, Marina Bay Sands, Sentosa, media coverage",2
2019-01-18 23:15:00+00:00,https://www.basingstokegazette.co.uk/news/national/17369900.donald-trump-and-kim-jong-un-to-meet-again-to-discuss-denuclearisation/,Donald Trump and Kim Jong Un to meet again to discuss denuclearisation,https://www.basingstokegazette.co.uk/resources/images/9307250/,eng,-1.860465116,UK,Singapore,1.3667,103.8,SN,SN,,1,kim on denuclearisation evan vucciin may north korea released three american detainees and sent them home with us secretary of state mike pompeo after his 90 minute meeting with the north korean leader in pyongyang weeks later mr trump had his first historic meeting with kim jong un in june in singapore but little tangible progress has been made on a vague denuclearisation agreement crafted at that summit no details have been released about how denuclearisation could occur the north korean emissary met earlier with mr pompeo at a washington hotel and they were reconvening after the white house,POINT(103.8 1.3667),"Donald Trump, Kim Jong Un, denuclearisation, North Korea, American detainees, Mike Pompeo, historic meeting, Singapore, agreement, North Korean emissary, White House",2
2018-06-13 12:15:00+00:00,http://www.hexham-courant.co.uk/news/national/article/Trump-declares-North-Korean-nuclear-threat-is-over-095f2d5d-7fce-4427-9cba-7d6cbc1027db-ds,Trump declares North Korean nuclear threat is over,,eng,0.298062593,UK,Singapore,1.3667,103.8,SN,SN,,1,programme spread across more than 100 sites constructed over decades to evade international inspections mr trump insisted that strong verification of denuclearisation would be included in a final agreement saying it was a detail his team would begin sorting out with the north koreans next week the singapore agreement does not detail plans for north korea to demolish a missile engine testing site a concession mr trump said he had won nor mr trump promise to end military exercises in the south while negotiations between the us and the north continue the us president cast that decision as a cost saving measure but also called the exercises inappropriate while talks continue,POINT(103.8 1.3667),"Trump, North Korea, nuclear threat, denuclearisation, verification, final agreement, missile engine testing site, negotiations, military exercises, cost-saving measure",2
2018-06-12 00:30:00+00:00,http://www.gazetteseries.co.uk/news/national/16283658.Trump-Kim_summit__Excitement_high_ahead_of_historic_meeting/,Trump - Kim summit : Excitement high ahead of historic meeting,http://www.gazetteseries.co.uk/resources/images/7909878/,eng,-1.484018265,UK,Singapore,1.3667,103.8,SN,SN,,1,mr trump was leaving early because negotiations had moved more quickly than expected but gave no details about any possible progress in preliminary talks on the day before the meeting weeks of preparation appeared to pick up in pace with us and north korean officials meeting throughout monday at a singapore hotel the president planned to stop in guam and hawaii on his way back to washington mr trump spoke only briefly in public on monday forecasting a nice outcome mr kim spent the day mostly out of view until he left his hotel for a late night tour of singapore sights including the flower dome at,POINT(103.8 1.3667),"Trump, Kim, summit, historic meeting, negotiations, preliminary talks, Singapore, hotel, Guam, Hawaii, Washington, Singapore sights, flower dome",2
,,East-West Line MRT services fully resume after six-day disruption,,,,,,,,SN,SN,,1,"Train services between Jurong East and Buona Vista MRT stations resumed on Tuesday morning, after a six-day pause for repair works.",,"East-West Line, MRT services, six-day disruption, resume, Jurong East, Buona Vista",134
,,Train Services Restored on East-West Line After Nearly a Week of Repairs,,,,,,,,SN,SN,,1,"After six days of maintenance work, trains are now running again between Jurong East and Buona Vista MRT stations, marking the end of the longest service disruption on this line in recent years.",,"Train services, East-West Line, maintenance, Jurong East, Buona Vista, service disruption",134
,,East-West Line Up and Running After Six-Day Service Interruption,,,,,,,,SN,SN,,1,"Commuters on the East-West Line can finally resume their usual travel routes, as train services between Jurong East and Buona Vista restart following essential repairs.",,"East-West Line, six-day service interruption, commuters, Jurong East, Buona Vista, essential repairs",134
,,Six-Day MRT Disruption Ends as Trains Resume Between Jurong East and Buona Vista,,,,,,,,SN,SN,,1,"The East-West Line is back to full operation after a six-day halt, with repairs successfully completed on tracks between two major interchange stations.",,"MRT disruption, East-West Line, trains, Jurong East, Buona Vista, full operation",134
